STATE,ZIPCODE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
MD,20628,290,25989,89.61724138,290,26393,91.01034483,250,18334,73.336
MD,20630,230,28963,125.926087,230,29663,128.9695652,200,22478,112.39
MD,20632,240,15448,64.36666667,240,15612,65.05,200,10133,50.665
MD,20634,3460,234505,67.77601156,3460,236088,68.23352601,2870,158428,55.20139373
MD,20636,4850,402600,83.01030928,4850,406396,83.79298969,4090,280686,68.62738386
MD,20637,2790,236937,84.92365591,2790,239878,85.97777778,2370,161441,68.1185654
MD,20639,7230,624644,86.39612725,7230,630896,87.26085754,6100,430763,70.61688525
MD,20640,4780,269517,56.38430962,4780,271049,56.70481172,3920,166173,42.39107143
MD,20645,390,38327,98.27435897,390,38994,99.98461538,350,26324,75.21142857
MD,20646,9750,743390,76.24512821,9750,750745,76.99948718,8180,503235,61.52017115
MD,20650,6110,541963,88.700982,6110,547533,89.61260229,5180,384687,74.26389961
MD,20653,10430,626930,60.10834132,10430,631605,60.55656759,8200,416262,50.76365854
MD,20657,8900,571009,64.15831461,8900,575682,64.68337079,7270,374607,51.52778542
MD,20658,580,33211,57.26034483,580,33371,57.5362069,450,21214,47.14222222
MD,20659,10880,733766,67.44172794,10880,739239,67.94476103,9150,479274,52.37967213
MD,20662,1230,72936,59.29756098,1230,73436,59.70406504,1000,45560,45.56
MD,20664,1330,85335,64.16165414,1330,86518,65.05112782,1070,54606,51.03364486
MD,20667,280,16747,59.81071429,280,16851,60.18214286,220,11316,51.43636364
MD,20670,570,33336,58.48421053,570,33583,58.91754386,520,21159,40.69038462
MD,20674,380,28531,75.08157895,380,28766,75.7,320,19755,61.734375
MD,20675,890,67662,76.0247191,890,68368,76.81797753,750,46335,61.78
MD,20676,1630,130527,80.07791411,1630,131765,80.83742331,1340,87901,65.59776119
MD,20677,1290,126112,97.76124031,1290,127764,99.04186047,1090,90246,82.79449541
MD,20678,5490,364677,66.42568306,5490,368752,67.16794171,4380,242023,55.25639269
MD,20680,420,28779,68.52142857,420,29055,69.17857143,350,19852,56.72
MD,20684,590,44249,74.99830508,590,44577,75.55423729,500,30270,60.54
MD,20685,3160,243075,76.92246835,3160,245312,77.63037975,2640,165581,62.72007576
MD,20686,170,18917,111.2764706,170,19130,112.5294118,140,13947,99.62142857
MD,20687,140,9249,66.06428571,140,9339,66.70714286,120,6372,53.1
MD,20688,1090,96352,88.39633028,1090,97297,89.26330275,950,69538,73.19789474
MD,20689,870,70513,81.04942529,870,71137,81.76666667,740,48093,64.99054054
MD,20690,380,35889,94.44473684,380,36276,95.46315789,330,25539,77.39090909
MD,20692,550,40947,74.44909091,550,41175,74.86363636,460,28156,61.20869565
MD,20693,580,42795,73.78448276,580,43152,74.4,480,29185,60.80208333
MD,20695,4810,359714,74.78461538,4810,362361,75.33492723,4140,233018,56.28454106
MD,20705,14800,764731,51.67101351,14800,772497,52.19574324,10920,461426,42.25512821
MD,20706,21540,993860,46.14020427,21540,1000860,46.46518106,16010,549982,34.35240475
MD,20707,18350,1061290,57.8359673,18350,1070874,58.35825613,14600,672687,46.07445205
MD,20708,14310,709695,49.59433962,14310,715820,50.02236198,10980,428959,39.06730419
MD,20710,5170,161569,31.25125725,5170,162694,31.4688588,3390,76874,22.67669617
MD,20711,3320,223356,67.27590361,3320,226422,68.19939759,2630,151080,57.44486692
MD,20712,5220,183787,35.20823755,5220,185810,35.59578544,3650,102267,28.01835616
MD,20714,2300,142899,62.13,2300,144143,62.67086957,1970,95099,48.27360406
MD,20715,13120,967105,73.71227134,13120,976126,74.39984756,11180,651881,58.30778175
MD,20716,11510,799796,69.48705474,11510,805580,69.98957428,9880,522092,52.84331984
MD,20720,11660,977139,83.80265866,11660,985655,84.53301887,9800,633381,64.63071429
MD,20721,15020,1265944,84.28388815,15020,1275212,84.90093209,12660,822329,64.95489731
MD,20722,3520,119050,33.82102273,3520,119984,34.08636364,2320,60667,26.14956897
MD,20723,15150,1223081,80.73141914,15150,1236012,81.5849505,12550,829633,66.10621514
MD,20724,9000,533339,59.25988889,9000,537716,59.74622222,7320,346440,47.32786885
MD,20732,4950,384349,77.64626263,4950,387734,78.33010101,4250,261061,61.42611765
MD,20733,1570,112259,71.50254777,1570,113400,72.22929936,1340,76279,56.92462687
MD,20735,20140,1298145,64.4560576,20140,1305094,64.80109235,16690,792049,47.4565009
MD,20736,4400,398170,90.49318182,4400,402295,91.43068182,3760,278071,73.95505319
MD,20737,12770,394802,30.91636648,12770,397849,31.15497259,7470,181841,24.34283802
MD,20740,11480,570427,49.68876307,11480,576860,50.24912892,8950,369730,41.31061453
MD,20743,19960,812262,40.69448898,19960,816501,40.90686373,15110,439287,29.07260093
MD,20744,28390,1767735,62.26611483,28390,1779887,62.69415287,22890,1100896,48.09506335
MD,20745,16300,653220,40.07484663,16300,658055,40.37147239,11480,368888,32.13310105
MD,20746,15440,672663,43.56625648,15440,676339,43.80433938,12050,385902,32.02506224
MD,20747,20570,905701,44.0301896,20570,910063,44.24224599,16130,511401,31.7049597
MD,20748,20810,981154,47.14819798,20810,986218,47.39154253,16480,575947,34.94824029
MD,20751,1190,87492,73.52268908,1190,88631,74.47983193,1000,59888,59.888
MD,20754,3460,325062,93.94855491,3460,329211,95.14768786,3010,231982,77.07043189
MD,20755,3290,161940,49.2218845,3290,163353,49.65136778,2870,93201,32.47421603
MD,20758,430,39070,90.86046512,430,39408,91.64651163,380,28259,74.36578947
MD,20759,2300,394042,171.3226087,2300,401512,174.5704348,2000,296846,148.423
MD,20762,1280,60837,47.52890625,1280,61419,47.98359375,1150,35751,31.08782609
MD,20763,1460,71316,48.84657534,1460,72002,49.31643836,1140,43999,38.59561404
MD,20764,2110,154901,73.41279621,2110,156838,74.33080569,1790,105976,59.20446927
MD,20769,3530,305867,86.64787535,3530,308473,87.38611898,2940,202306,68.81156463
MD,20770,13590,644460,47.42163355,13590,650295,47.85099338,10480,402145,38.3726145
MD,20772,22600,1659694,73.43778761,22600,1669869,73.88800885,19370,1050920,54.25503356
MD,20774,24910,1698255,68.17563228,24910,1709312,68.61951024,21170,1050251,49.61034483
MD,20776,1660,146180,88.06024096,1660,148745,89.60542169,1370,104011,75.92043796
MD,20777,1620,257716,159.0839506,1620,262035,161.75,1390,194922,140.2316547
MD,20778,920,96518,104.9108696,920,98025,106.548913,790,70109,88.74556962
MD,20779,650,62699,96.46,650,63611,97.86307692,550,45617,82.94
MD,20781,7890,323901,41.05209125,7890,327255,41.47718631,5120,186306,36.38789063
MD,20782,18710,763582,40.81143773,18710,771117,41.21416355,13090,445375,34.02406417
MD,20783,30440,817732,26.86373193,30440,825413,27.11606439,16120,381786,23.68399504
MD,20784,17430,649795,37.28026391,17430,654187,37.53224326,12120,333960,27.55445545
MD,20785,20700,922656,44.57275362,20700,929252,44.89140097,15600,530430,34.00192308
MD,20794,5280,311914,59.07462121,5280,314666,59.59583333,4250,202476,47.64141176
MD,20812,180,24376,135.4222222,180,25656,142.5333333,160,18260,114.125
MD,20814,14430,2395157,165.9845461,14430,2451480,169.8877339,12910,1872134,145.0142525
MD,20815,14380,3438662,239.1280946,14380,3534753,245.8103616,12810,2727071,212.8861046
MD,20816,7470,1700902,227.6977242,7470,1751676,234.4947791,6640,1342685,202.2115964
MD,20817,16420,3769255,229.5526797,16420,3870198,235.7002436,14380,2958833,205.7602921
MD,20818,890,159465,179.1741573,890,165217,185.6370787,790,125166,158.4379747
MD,20832,12430,1178342,94.79823009,12430,1194961,96.13523733,10480,841241,80.27108779
MD,20833,3740,458894,122.6989305,3740,466773,124.805615,3140,336828,107.2700637
MD,20837,3020,303791,100.5930464,3020,310968,102.9695364,2530,218739,86.45810277
MD,20838,170,26344,154.9647059,170,27146,159.6823529,150,18125,120.8333333
MD,20839,120,11747,97.89166667,120,12129,101.075,90,7054,78.37777778
MD,20841,3910,429047,109.7306905,3910,435436,111.3647059,3270,301278,92.13394495
MD,20842,870,98524,113.245977,870,100417,115.4218391,720,73686,102.3416667
MD,20850,22350,2340572,104.7235794,22350,2383528,106.6455481,18820,1729461,91.89484591
MD,20851,8240,401796,48.76165049,8240,406810,49.37014563,5990,254076,42.41669449
MD,20852,21910,2227246,101.6543131,21910,2272268,103.7091739,18600,1678362,90.23451613
MD,20853,15930,1247035,78.282172,15930,1267226,79.54965474,12120,863826,71.27277228
MD,20854,22390,5647896,252.2508263,22390,5793394,258.7491737,19380,4473399,230.8255418
MD,20855,7240,735480,101.5856354,7240,747687,103.2716851,6090,535545,87.93842365
MD,20860,920,119188,129.5521739,920,121252,131.7956522,760,87622,115.2921053
MD,20861,1040,130318,125.3057692,1040,132672,127.5692308,850,97436,114.6305882
MD,20862,200,28908,144.54,200,29544,147.72,170,20508,120.6352941
MD,20866,7230,485978,67.21687414,7230,491655,68.00207469,5820,318664,54.7532646
MD,20868,360,29675,82.43055556,360,30172,83.81111111,300,19911,66.37
MD,20871,8460,837414,98.98510638,8460,848806,100.3316785,7280,581118,79.8239011
MD,20872,6440,492875,76.53338509,6440,498791,77.45201863,5280,334872,63.42272727
MD,20874,29790,1987440,66.71500504,29790,2011052,67.50762001,23930,1336964,55.86978688
MD,20876,12570,824391,65.58400955,12570,834450,66.38424821,9670,548282,56.69927611
MD,20877,20660,929050,44.96853824,20660,939309,45.46510165,13970,567863,40.64874732
MD,20878,30410,3125578,102.7812562,30410,3180514,104.5877672,25080,2290703,91.3358453
MD,20879,13180,797916,60.53990895,13180,808052,61.30895296,10100,522809,51.76326733
MD,20882,6750,778726,115.3668148,6750,792013,117.3352593,5700,566611,99.4054386
MD,20886,18300,993792,54.30557377,18300,1004092,54.8684153,13430,636648,47.40491437
MD,20895,9310,1113269,119.5777658,9310,1136659,122.0901182,7910,829858,104.9125158
MD,20901,19260,1310525,68.04387331,19260,1328923,68.99911734,14720,890553,60.49952446
MD,20902,27740,1517908,54.71910598,27740,1539888,55.51146359,19940,983214,49.30862588
MD,20903,14640,504248,34.4431694,14640,510267,34.85430328,8630,268246,31.0829664
MD,20904,29450,1837834,62.4052292,29450,1860326,63.16896435,22840,1209171,52.94093695
MD,20905,9360,876449,93.63771368,9360,890831,95.17425214,7690,617495,80.29843953
MD,20906,37680,1989790,52.80759023,37680,2013135,53.42714968,27510,1266113,46.02373682
MD,20910,22300,1771450,79.43721973,22300,1802380,80.82421525,18850,1295920,68.74907162
MD,20912,13720,790597,57.62368805,13720,804388,58.62886297,10090,522001,51.73448959
MD,21001,11420,579634,50.75604203,11420,583957,51.13458844,8840,362365,40.99151584
MD,21005,790,50639,64.1,790,51186,64.79240506,710,33102,46.62253521
MD,21009,14660,988380,67.420191,14660,997753,68.0595498,12610,657186,52.11625694
MD,21012,10670,1156749,108.4113402,10670,1172971,109.9316776,9120,860848,94.39122807
MD,21013,2290,255719,111.6676856,2290,260086,113.5746725,1970,189667,96.27766497
MD,21014,18130,1332746,73.51053502,18130,1347189,74.30717044,15270,916831,60.04132286
MD,21015,13810,1168353,84.6019551,13810,1182889,85.65452571,11640,822549,70.66572165
MD,21017,3230,187383,58.01331269,3230,189049,58.52910217,2770,123262,44.49891697
MD,21028,1610,140800,87.45341615,1610,142862,88.73416149,1360,99798,73.38088235
MD,21029,5400,916417,169.7068519,5400,933028,172.782963,4640,707768,152.5362069
MD,21030,13340,1270299,95.22481259,13340,1288799,96.61161919,10660,919090,86.21857411
MD,21032,4470,560649,125.4248322,4470,569696,127.4487696,3890,422861,108.7046272
MD,21034,1770,104249,58.89774011,1770,105943,59.85480226,1420,68142,47.98732394
MD,21035,3930,578142,147.1099237,3930,591464,150.4997455,3360,438955,130.641369
MD,21036,1040,136015,130.7836538,1040,138269,132.9509615,920,98899,107.498913
MD,21037,10630,1005557,94.59614299,10630,1021834,96.12737535,8930,722307,80.88544233
MD,21040,11650,482256,41.39536481,11650,485644,41.68618026,8490,273961,32.26866902
MD,21042,18290,2486169,135.9305085,18290,2529649,138.3077638,15720,1865260,118.6552163
MD,21043,21140,2047935,96.87488174,21140,2073384,98.07871334,17880,1470263,82.22947427
MD,21044,21450,1855084,86.48410256,21450,1880635,87.67529138,17970,1328205,73.91235392
MD,21045,20100,1415187,70.40731343,20100,1430485,71.16840796,16080,957719,59.5596393
MD,21046,7900,657699,83.25303797,7900,665884,84.28911392,6690,466949,69.7980568
MD,21047,6010,573255,95.38352745,6010,583003,97.00549085,5130,409802,79.8834308
MD,21048,5320,459580,86.38721805,5320,466425,87.67387218,4500,327718,72.82622222
MD,21050,9130,775163,84.90284775,9130,784503,85.92584885,7740,543967,70.27997416
MD,21051,160,18957,118.48125,160,19087,119.29375,140,11275,80.53571429
MD,21053,1580,116478,73.72025316,1580,117944,74.64810127,1260,79385,63.00396825
MD,21054,5750,570711,99.25408696,5750,577921,100.508,4970,413349,83.16881288
MD,21057,2070,224958,108.6753623,2070,229331,110.7879227,1780,164065,92.17134831
MD,21060,16490,856228,51.9240752,16490,862330,52.29411765,13360,536595,40.16429641
MD,21061,27750,1311774,47.27113514,27750,1321438,47.61938739,21620,812189,37.56655874
MD,21074,7750,521496,67.28980645,7750,528291,68.16658065,6380,352468,55.24576803
MD,21075,14050,1075462,76.54533808,14050,1086495,77.33060498,11860,734516,61.93220911
MD,21076,7920,640442,80.86388889,7920,646124,81.58131313,6930,449125,64.80880231
MD,21077,140,7756,55.4,140,7835,55.96428571,120,4975,41.45833333
MD,21078,9040,614888,68.01858407,9040,621306,68.72853982,7510,417357,55.573502
MD,21082,490,44398,90.60816327,490,45026,91.88979592,430,32117,74.69069767
MD,21084,3730,295548,79.23538874,3730,299230,80.22252011,3150,205977,65.38952381
MD,21085,8570,522738,60.99626604,8570,527592,61.56266044,7210,341925,47.42371706
MD,21087,2910,251119,86.295189,2910,254667,87.51443299,2480,177395,71.53024194
MD,21090,5130,345191,67.28869396,5130,348127,67.86101365,4290,237166,55.28344988
MD,21093,19590,2337359,119.3138846,19590,2375430,121.2572741,16790,1756501,104.6159023
MD,21102,5800,382165,65.89051724,5800,387072,66.73655172,4780,250765,52.46129707
MD,21104,2490,305895,122.8493976,2490,309931,124.4702811,2120,224045,105.6816038
MD,21108,8860,853528,96.33498871,8860,864896,97.61805869,7500,620982,82.7976
MD,21111,2500,364563,145.8252,2500,373342,149.3368,2120,276034,130.204717
MD,21113,15770,1163600,73.78566899,15770,1173429,74.40894103,13830,803151,58.07310195
MD,21114,12570,1063405,84.59864757,12570,1073792,85.42498011,10910,752807,69.0015582
MD,21117,27910,2268563,81.28136869,27910,2304408,82.56567539,22850,1602026,70.11054705
MD,21120,3480,357696,102.7862069,3480,363551,104.4686782,2980,260642,87.46375839
MD,21122,30040,2136716,71.12902796,30040,2157124,71.80838881,25250,1451198,57.47318812
MD,21128,6570,546406,83.16681887,6570,552475,84.09056317,5590,377017,67.44490161
MD,21131,3630,631199,173.884022,3630,643203,177.1909091,3120,487447,156.2330128
MD,21132,1350,89467,66.27185185,1350,90572,67.09037037,1110,60013,54.06576577
MD,21133,15070,759556,50.401858,15070,765232,50.77850033,11910,445986,37.44634761
MD,21136,16930,1523899,90.01175428,16930,1548058,91.43874778,13460,1116842,82.97488856
MD,21140,1760,184517,104.8392045,1760,187220,106.375,1550,135091,87.15548387
MD,21144,16290,1151811,70.70662983,16290,1160799,71.25837937,13480,771886,57.2615727
MD,21146,13050,1533056,117.4755556,13050,1555000,119.1570881,11140,1138156,102.1684022
MD,21152,2890,341829,118.2799308,2890,348871,120.716609,2470,260922,105.6364372
MD,21154,3040,203100,66.80921053,3040,206214,67.83355263,2510,134436,53.56015936
MD,21155,1270,98366,77.45354331,1270,100763,79.34094488,1060,69040,65.13207547
MD,21156,210,15290,72.80952381,210,15525,73.92857143,170,10704,62.96470588
MD,21157,17840,1157341,64.87337444,17840,1170932,65.63520179,14390,774932,53.85211953
MD,21158,10220,693315,67.8390411,10220,701359,68.62612524,8570,460538,53.73838973
MD,21160,1170,69624,59.50769231,1170,70322,60.1042735,950,45026,47.39578947
MD,21161,2740,214033,78.11423358,2740,217234,79.28248175,2290,149980,65.49344978
MD,21162,2020,137380,68.00990099,2020,138699,68.66287129,1670,88198,52.81317365
MD,21163,3470,374413,107.9,3470,379294,109.3066282,2930,268596,91.67098976
MD,21201,7760,357573,46.07899485,7760,363234,46.80850515,5740,243122,42.35574913
MD,21202,8190,565876,69.09352869,8190,573681,70.04652015,6100,412085,67.55491803
MD,21204,8200,1163723,141.917439,8200,1185458,144.5680488,6890,890849,129.2959361
MD,21205,6460,148354,22.96501548,6460,149876,23.2006192,3370,60737,18.02284866
MD,21206,23880,921386,38.58400335,23880,928174,38.86825796,18010,499013,27.70755136
MD,21207,23800,988301,41.5252521,23800,994838,41.79991597,18090,555038,30.68203427
MD,21208,17130,1664729,97.18207823,17130,1693745,98.87594863,13990,1215283,86.86797713
MD,21209,12510,1186668,94.85755396,12510,1211707,96.85907274,10710,846523,79.04042951
MD,21210,5550,894933,161.2491892,5550,912012,164.3264865,4940,701281,141.9597166
MD,21211,8390,432928,51.60047676,8390,438756,52.29511323,6930,289424,41.76392496
MD,21212,14640,1340687,91.57698087,14640,1364885,93.22984973,11790,969239,82.20856658
MD,21213,13200,396760,30.05757576,13200,399867,30.29295455,8690,188627,21.70621404
MD,21214,9370,443095,47.2886873,9370,447478,47.75645678,7400,267459,36.14310811
MD,21215,24930,893257,35.8306057,24930,902223,36.19025271,17040,472775,27.74501174
MD,21216,12340,367326,29.76709887,12340,369860,29.97244733,8230,178029,21.63171324
MD,21217,13570,478977,35.29675755,13570,484792,35.72527634,8670,264335,30.48846597
MD,21218,19570,1024777,52.36469085,19570,1038378,53.05968319,14390,665849,46.27164698
MD,21219,4710,257740,54.72186837,4710,259540,55.10403397,3800,164064,43.17473684
MD,21220,20140,982649,48.7909136,20140,990515,49.18147964,15650,604771,38.64351438
MD,21221,20530,903202,43.99425231,20530,910650,44.35703848,15490,537895,34.72530665
MD,21222,26570,1061479,39.95028227,26570,1067708,40.18471961,19790,616539,31.15406771
MD,21223,9390,233432,24.85963791,9390,235738,25.10521832,5340,101717,19.04812734
MD,21224,28310,1288713,45.52147651,28310,1305902,46.12864712,19180,845880,44.10218978
MD,21225,14330,488608,34.09685973,14330,492096,34.34026518,9450,259878,27.50031746
MD,21226,3280,166540,50.77439024,3280,167826,51.16646341,2520,103895,41.2281746
MD,21227,17010,753006,44.26843034,17010,759090,44.62610229,12710,458305,36.05861526
MD,21228,24370,1633121,67.01358227,24370,1651655,67.77410751,19950,1111250,55.70175439
MD,21229,21380,793856,37.13077643,21380,800125,37.42399439,15760,435149,27.61097716
MD,21230,17580,1205089,68.54886234,17580,1221586,69.48725825,14290,869002,60.81189643
MD,21231,8520,530387,62.25199531,8520,539728,63.34835681,6440,385742,59.89782609
MD,21234,35580,1787214,50.23086003,35580,1803212,50.68049466,28800,1131885,39.3015625
MD,21236,20270,1156652,57.0622595,20270,1166747,57.56028614,17060,756941,44.36934349
MD,21237,15240,758119,49.74534121,15240,764740,50.17979003,11970,468580,39.14619883
MD,21239,14130,568574,40.23878273,14130,573178,40.5646143,10960,322273,29.4044708
MD,21244,18500,841640,45.49405405,18500,847767,45.82524324,14250,485400,34.06315789
MD,21286,9480,802501,84.65200422,9480,815445,86.01740506,7880,576912,73.21218274
MD,21401,20870,1950670,93.46765692,20870,1982909,95.01241016,16920,1418770,83.85165485
MD,21402,490,25265,51.56122449,490,25555,52.15306122,440,16610,37.75
MD,21403,17370,1514174,87.17179044,17370,1539980,88.65745538,13730,1098435,80.00254916
MD,21409,9870,1002800,101.6008105,9870,1018225,103.1636272,8390,719601,85.76889154
MD,21502,16760,760659,45.38538186,16760,769823,45.9321599,12400,475161,38.31943548
MD,21520,920,42417,46.10543478,920,43157,46.90978261,680,26141,38.44264706
MD,21521,570,22176,38.90526316,570,22330,39.1754386,430,12958,30.13488372
MD,21523,120,5058,42.15,120,5085,42.375,90,2846,31.62222222
MD,21530,650,29844,45.91384615,650,30143,46.37384615,510,17986,35.26666667
MD,21531,990,43097,43.53232323,990,43804,44.24646465,740,25910,35.01351351
MD,21532,5600,266290,47.55178571,5600,269085,48.05089286,4430,169652,38.29616253
MD,21536,1740,80729,46.39597701,1740,82259,47.27528736,1320,50118,37.96818182
MD,21538,290,10515,36.25862069,290,10560,36.4137931,210,5975,28.45238095
MD,21539,1140,46910,41.14912281,1140,47378,41.55964912,830,28086,33.83855422
MD,21541,780,43619,55.92179487,780,44981,57.66794872,620,28354,45.73225806
MD,21545,890,34866,39.1752809,890,35121,39.46179775,690,20173,29.23623188
MD,21550,6300,288282,45.75904762,6300,294075,46.67857143,4620,176776,38.26320346
MD,21555,740,30193,40.80135135,740,30415,41.10135135,550,17203,31.27818182
MD,21557,800,34853,43.56625,800,35111,43.88875,600,20874,34.79
MD,21561,1140,65112,57.11578947,1140,66236,58.10175439,920,41925,45.57065217
MD,21562,1260,52908,41.99047619,1260,52455,41.63095238,950,30583,32.19263158
MD,21601,12030,873621,72.6201995,12030,887479,73.77215295,9160,596984,65.17292576
MD,21607,230,10559,45.90869565,230,10763,46.79565217,170,6395,37.61764706
MD,21610,170,8861,52.12352941,170,8937,52.57058824,140,5663,40.45
MD,21612,240,18902,78.75833333,240,19500,81.25,170,12954,76.2
MD,21613,8140,354234,43.51769042,8140,359312,44.14152334,5620,216061,38.44501779
MD,21617,4730,356515,75.37315011,4730,362294,76.594926,3880,238134,61.37474227
MD,21619,3440,251229,73.03168605,3440,255629,74.31075581,2830,171564,60.62332155
MD,21620,5690,413445,72.66168717,5690,420199,73.8486819,4480,282795,63.12388393
MD,21622,270,11703,43.34444444,260,11456,44.06153846,190,6689,35.20526316
MD,21623,870,48743,56.02643678,870,49714,57.14252874,670,30369,45.32686567
MD,21625,1110,65707,59.1954955,1110,66915,60.28378378,880,43339,49.24886364
MD,21629,4150,218171,52.5713253,4150,221202,53.30168675,3190,136324,42.73479624
MD,21631,1200,63468,52.89,1200,64555,53.79583333,940,39833,42.37553191
MD,21632,2800,106040,37.87142857,2800,107547,38.40964286,1950,59232,30.37538462
MD,21634,310,7227,23.31290323,310,7317,23.60322581,120,3005,25.04166667
MD,21635,940,62778,66.78510638,940,63646,67.70851064,760,42513,55.93815789
MD,21636,560,23375,41.74107143,560,23667,42.2625,410,13738,33.50731707
MD,21638,2400,199059,82.94125,2400,202394,84.33083333,1920,139917,72.8734375
MD,21639,2030,88074,43.3862069,2030,89068,43.87586207,1550,51737,33.37870968
MD,21640,690,28321,41.04492754,690,28816,41.76231884,470,15907,33.84468085
MD,21643,2710,112218,41.40885609,2710,113315,41.81365314,2030,64022,31.53793103
MD,21645,480,37613,78.36041667,480,38416,80.03333333,380,26750,70.39473684
MD,21647,170,8875,52.20588235,170,9037,53.15882353,120,5677,47.30833333
MD,21649,980,26778,27.3244898,980,27028,27.57959184,490,13168,26.87346939
MD,21650,120,6421,53.50833333,120,6664,55.53333333,80,4481,56.0125
MD,21651,1310,66338,50.63969466,1310,67434,51.47633588,1020,40926,40.12352941
MD,21654,650,106969,164.5676923,650,110315,169.7153846,570,82933,145.4964912
MD,21655,2380,118652,49.85378151,2380,120415,50.59453782,1870,73827,39.47967914
MD,21657,540,31384,58.11851852,540,31872,59.02222222,430,19933,46.35581395
MD,21658,1820,167694,92.13956044,1820,171206,94.06923077,1480,117598,79.45810811
MD,21659,420,19901,47.38333333,420,20503,48.81666667,330,12051,36.51818182
MD,21660,1770,85720,48.42937853,1770,86738,49.00451977,1360,51414,37.80441176
MD,21661,1170,59991,51.27435897,1170,61218,52.32307692,870,37444,43.03908046
MD,21662,430,74309,172.8116279,430,75883,176.472093,350,60438,172.68
MD,21663,1640,162508,99.0902439,1640,165778,101.0841463,1310,120547,92.02061069
MD,21665,130,8531,65.62307692,130,8807,67.74615385,100,5199,51.99
MD,21666,6350,529446,83.37732283,6350,537441,84.63637795,5230,364094,69.61644359
MD,21667,170,8316,48.91764706,170,8467,49.80588235,120,5281,44.00833333
MD,21668,770,39047,50.71038961,770,39605,51.43506494,610,24406,40.00983607
MD,21671,380,22937,60.36052632,380,23607,62.12368421,290,15288,52.71724138
MD,21673,1530,115207,75.29869281,1530,117230,76.62091503,1210,81100,67.02479339
MD,21676,150,13002,86.68,150,13285,88.56666667,120,9758,81.31666667
MD,21677,230,16148,70.20869565,230,16468,71.6,170,10832,63.71764706
MD,21678,1080,63111,58.43611111,1080,64446,59.67222222,840,41359,49.23690476
MD,21679,250,21940,87.76,250,22355,89.42,200,15781,78.905
MD,21701,18400,1263702,68.67945652,18400,1280357,69.58461957,15270,869994,56.9740668
MD,21702,20550,1345824,65.49021898,20550,1361484,66.25226277,16090,909228,56.50888751
MD,21703,17590,1002923,57.01665719,17590,1013339,57.60881182,13610,650429,47.79052168
MD,21704,6370,668058,104.8756672,6370,676603,106.2171115,5490,471438,85.87213115
MD,21710,2150,201235,93.59767442,2150,203830,94.80465116,1820,140408,77.14725275
MD,21711,450,24199,53.77555556,450,24436,54.30222222,370,15323,41.41351351
MD,21713,4440,292651,65.91238739,4440,295862,66.63558559,3690,195469,52.97262873
MD,21716,2580,142116,55.08372093,2580,143178,55.49534884,2120,90816,42.83773585
MD,21718,100,7164,71.64,100,7320,73.2,100,5427,54.27
MD,21719,710,31007,43.67183099,710,31264,44.03380282,570,18682,32.7754386
MD,21722,2680,144907,54.06977612,2680,146623,54.71007463,2220,92361,41.60405405
MD,21723,350,46581,133.0885714,350,47477,135.6485714,300,33466,111.5533333
MD,21727,2070,113645,54.90096618,2070,114986,55.54879227,1670,72085,43.16467066
MD,21733,570,35971,63.10701754,570,36284,63.65614035,460,23423,50.91956522
MD,21737,880,147763,167.9125,880,150286,170.7795455,770,111131,144.325974
MD,21738,1560,276843,177.4634615,1560,282332,180.9820513,1370,215434,157.2510949
MD,21740,26690,1155003,43.2747471,26690,1166156,43.69261896,19500,696657,35.726
MD,21742,15210,952676,62.6348455,15210,966095,63.51709402,12300,643554,52.32146341
MD,21750,1650,69752,42.27393939,1650,70344,42.63272727,1250,40016,32.0128
MD,21754,2940,319363,108.6268707,2940,323802,110.1367347,2480,233512,94.15806452
MD,21755,2660,208427,78.35601504,2660,211202,79.39924812,2220,145302,65.45135135
MD,21756,1700,114712,67.47764706,1700,116131,68.31235294,1420,75570,53.21830986
MD,21757,1320,75568,57.24848485,1320,76624,58.04848485,1060,48706,45.9490566
MD,21758,2130,150694,70.74835681,2130,152250,71.47887324,1790,100470,56.12849162
MD,21766,300,11963,39.87666667,300,12090,40.3,240,6865,28.60416667
MD,21767,680,28255,41.55147059,680,28553,41.98970588,550,16932,30.78545455
MD,21769,5600,508986,90.89035714,5600,517002,92.32178571,4730,360007,76.11141649
MD,21770,2580,212339,82.30193798,2580,214931,83.30658915,2190,148594,67.85114155
MD,21771,14560,1287544,88.43021978,14560,1303718,89.54107143,12240,901164,73.6245098
MD,21773,2630,191323,72.74638783,2630,193849,73.70684411,2150,130969,60.91581395
MD,21774,5840,556067,95.21695205,5840,563151,96.42996575,5130,387915,75.61695906
MD,21776,2810,186624,66.41423488,2810,189170,67.3202847,2350,123894,52.72085106
MD,21777,820,74142,90.41707317,820,74815,91.23780488,730,50744,69.51232877
MD,21778,510,29183,57.22156863,510,29652,58.14117647,430,18914,43.98604651
MD,21779,490,32483,66.29183673,490,32917,67.17755102,410,22115,53.93902439
MD,21780,730,39541,54.16575342,730,40071,54.89178082,610,25664,42.07213115
MD,21782,1980,112339,56.73686869,1980,113402,57.27373737,1610,73583,45.70372671
MD,21783,4160,244496,58.77307692,4160,247488,59.49230769,3350,157332,46.96477612
MD,21784,18360,1592027,86.71171024,18360,1611409,87.76737473,15630,1123678,71.89238644
